loan_amount,loan_maturity_days,interest_rate,borrower_type,age,credit_score,employment_years,defaulted
10000,43,0.30203441,Small Merchant,43,736,5,0
20462.29679,36,0.289740343,Freelancer,40,404,10,0
24499.788,39,0.301496974,Gig Worker,59,402,19,0
32345.25831,44,0.266028939,Gig Worker,55,507,2,0
18372.10847,60,0.25,Gig Worker,42,346,10,0
16340.54478,58,0.293014794,Freelancer,40,603,2,0
18487.70069,71,0.287495571,Small Merchant,51,466,17,0
28407.81482,83,0.262494558,Gig Worker,36,793,2,0
24301.25777,46,0.254750952,Small Merchant,36,386,19,1
18291.67857,88,0.282613498,Gig Worker,40,525,9,0
25592.87203,80,0.294338439,Freelancer,23,419,3,0
22679.54285,58,0.290398201,Gig Worker,42,547,3,0
28780.51493,78,0.259607093,Gig Worker,44,804,0,0
17085.62834,73,0.264092326,Small Merchant,51,652,16,0
19706.36497,44,0.293389707,Small Merchant,25,443,5,1
19255.24293,55,0.281453723,Freelancer,33,649,3,1
11755.39536,41,0.301203078,Freelancer,57,814,8,0
24072.84194,54,0.273534561,Freelancer,57,616,9,0
23827.38691,90,0.294790496,Small Merchant,35,325,4,0
22035.7942,70,0.279207003,Freelancer,51,829,7,0
20357.89007,34,0.265543975,Gig Worker,35,621,17,0
12092.40481,33,0.298563257,Gig Worker,38,595,7,0
19055.48274,73,0.260148782,Gig Worker,56,430,17,0
19600.99838,77,0.281483038,Freelancer,40,316,6,0
16384.05912,70,0.283549728,Freelancer,34,484,7,0
20871.00002,86,0.277594226,Gig Worker,45,348,6,0
24828.356,60,0.29981599,Freelancer,49,375,18,0
35203.30131,32,0.291452308,Freelancer,59,827,10,0
23222.04469,82,0.28906857,Freelancer,34,305,10,1
23802.85274,32,0.281369261,Gig Worker,32,333,2,0
21478.87859,55,0.317126554,Freelancer,46,358,19,0
10000,79,0.309293345,Freelancer,42,366,12,0
21814.40287,46,0.298388582,Freelancer,53,554,9,0
22421.61147,89,0.295102055,Freelancer,53,702,5,0
39242.69479,39,0.267954836,Gig Worker,42,456,2,0
20653.47325,31,0.279018416,Freelancer,39,331,9,0
24110.8314,53,0.292716418,Gig Worker,28,309,1,0
21757.01761,40,0.301031621,Freelancer,39,674,0,0
13819.25374,53,0.297840956,Small Merchant,58,648,11,0
29999.7597,64,0.291619246,Freelancer,33,831,3,0
27263.53123,52,0.320012519,Small Merchant,45,455,19,0
27537.22363,61,0.277288237,Small Merchant,46,326,10,0
15634.28782,52,0.300263796,Gig Worker,53,452,0,0
31819.56018,63,0.297828801,Small Merchant,48,584,15,0
12187.04256,70,0.28888132,Freelancer,51,549,5,0
26107.99966,48,0.289610005,Freelancer,24,728,14,0
37333.18938,31,0.289206896,Freelancer,23,585,9,0
15066.24572,89,0.265835274,Freelancer,42,805,7,0
18035.91589,80,0.28801722,Freelancer,40,593,16,0
22697.55956,31,0.294965613,Gig Worker,52,743,12,0
18475.67042,44,0.286438729,Freelancer,43,587,8,0
11145.35598,85,0.25,Freelancer,35,605,5,0
22479.94082,50,0.25,Freelancer,51,370,16,1
14563.874,64,0.26363536,Gig Worker,38,462,1,1
25315.14701,34,0.277761455,Small Merchant,45,780,17,0
15564.03036,72,0.264709062,Gig Worker,22,642,15,0
32849.54084,56,0.29291824,Gig Worker,54,816,5,0
16517.22695,53,0.303839978,Freelancer,58,406,2,0
19745.56939,36,0.306673395,Small Merchant,37,797,2,0
27694.62052,35,0.286736225,Freelancer,26,300,13,1
13383.94978,75,0.30168322,Small Merchant,51,775,9,0
23592.21954,90,0.268748965,Gig Worker,43,752,9,0
31149.99928,62,0.276966927,Freelancer,35,364,1,0
10747.61736,87,0.256660236,Small Merchant,43,784,6,0
23292.43701,78,0.304137987,Small Merchant,23,721,13,0
23819.17956,46,0.319318917,Gig Worker,51,835,16,0
27472.7601,75,0.273028046,Freelancer,53,450,16,0
13341.34502,71,0.25,Small Merchant,38,690,9,0
12756.80371,59,0.260891963,Freelancer,33,714,2,0
25653.59096,37,0.266996555,Freelancer,57,306,16,0
24078.89271,69,0.253475944,Freelancer,32,815,12,0
23753.44995,75,0.259393847,Gig Worker,41,765,15,0
24425.13747,36,0.284092365,Small Merchant,50,403,2,0
17239.82695,35,0.293194449,Freelancer,49,763,14,0
23625.77588,33,0.25,Small Merchant,42,650,6,0
24051.50731,30,0.26935677,Freelancer,31,665,12,0
16999.54007,44,0.280753524,Freelancer,33,481,6,0
35060.42158,60,0.258664649,Gig Worker,55,542,10,0
25316.83045,54,0.284723683,Small Merchant,27,519,13,0
13660.87552,76,0.277643406,Small Merchant,43,507,10,0
26595.87526,62,0.271028188,Small Merchant,22,481,18,0
15177.22831,81,0.262710168,Freelancer,33,728,6,0
27509.59223,64,0.285468156,Small Merchant,30,334,1,0
30110.16905,84,0.264730248,Small Merchant,57,720,2,0
16255.22377,34,0.25,Freelancer,47,502,1,0
28743.6329,34,0.280441986,Gig Worker,42,461,4,0
24889.46649,65,0.255219535,Gig Worker,37,707,17,0
27754.42112,46,0.25,Gig Worker,39,648,15,0
35277.55088,82,0.282590442,Small Merchant,52,303,2,0
20282.28319,81,0.276741817,Freelancer,21,660,14,0
16723.84685,43,0.262673268,Gig Worker,58,657,19,0
15773.39899,87,0.284578805,Freelancer,56,335,19,0
16289.32801,58,0.288478646,Gig Worker,45,634,12,0
21460.28803,37,0.284796571,Small Merchant,21,590,5,0
24388.06382,63,0.284070495,Freelancer,22,584,15,0
23936.8356,69,0.25,Freelancer,39,335,10,0
27790.28274,30,0.305864741,Small Merchant,29,623,13,0
22091.01324,58,0.291149411,Small Merchant,40,762,14,0
32174.73854,65,0.260984182,Gig Worker,59,694,4,0
20147.40217,80,0.279764839,Freelancer,28,348,5,0
41041.18417,66,0.283565819,Gig Worker,21,762,14,0
26379.67143,58,0.279213201,Small Merchant,47,612,18,0
15999.89711,34,0.31586122,Small Merchant,22,654,10,0
14503.75251,82,0.25,Freelancer,35,642,19,0
25377.30691,61,0.250476051,Gig Worker,23,354,5,0
20435.7605,89,0.25,Freelancer,42,611,10,0
26998.00346,81,0.281597521,Freelancer,49,559,7,0
25312.66337,53,0.290880299,Gig Worker,57,387,11,0
21490.19761,48,0.287231981,Freelancer,32,619,16,0
16072.44397,41,0.274217514,Freelancer,25,689,0,0
11396.06943,81,0.288130806,Small Merchant,29,569,9,0
18874.39534,30,0.27407101,Gig Worker,36,759,13,0
27994.79156,36,0.294814514,Small Merchant,27,660,6,0
23498.65621,46,0.302145885,Gig Worker,28,425,17,0
13279.82855,63,0.261376239,Small Merchant,53,484,8,0
23212.26648,72,0.274247251,Freelancer,36,664,15,0
24697.22166,36,0.277486692,Freelancer,41,841,9,0
15812.99795,46,0.308508666,Gig Worker,22,307,11,0
23076.07574,88,0.263731159,Freelancer,59,713,8,0
22407.46103,32,0.301953256,Small Merchant,48,431,13,0
13999.20792,58,0.250678807,Gig Worker,58,655,1,0
24504.51152,51,0.304870912,Freelancer,46,622,9,0
25925.49168,67,0.297037668,Gig Worker,58,401,9,0
29581.3587,83,0.276886849,Small Merchant,59,765,1,1
29376.61436,72,0.298333474,Freelancer,56,728,5,0
12356.31442,58,0.269981189,Freelancer,22,374,10,0
15435.22472,79,0.261543741,Small Merchant,38,399,8,0
25605.24687,79,0.314129249,Freelancer,53,535,2,0
25596.50166,83,0.269176377,Freelancer,33,568,18,0
25605.3338,71,0.293540048,Freelancer,40,553,10,0
48969.12043,34,0.302176828,Gig Worker,21,628,3,0
25996.23357,59,0.29612664,Gig Worker,29,598,14,0
29948.95948,52,0.291985433,Gig Worker,36,669,11,0
28678.01234,84,0.293603522,Small Merchant,21,558,3,0
26559.73876,50,0.301149063,Small Merchant,46,527,14,0
19793.11529,85,0.286354435,Small Merchant,20,676,16,0
27312.78454,55,0.279207158,Gig Worker,55,444,17,0
16590.2235,83,0.252621189,Freelancer,52,379,4,0
20342.26975,76,0.286362537,Small Merchant,41,338,9,0
18602.45517,50,0.300566768,Freelancer,54,396,19,0
22573.11898,49,0.257985556,Small Merchant,53,545,8,0
38202.60997,52,0.275418866,Freelancer,37,632,17,0
10000,33,0.288507462,Small Merchant,55,702,11,0
26803.82133,50,0.310247316,Small Merchant,22,577,7,0
10710.9889,50,0.256828617,Freelancer,35,307,10,0
18696.47694,30,0.29586905,Freelancer,30,663,3,0
29622.65418,44,0.272844262,Freelancer,29,751,8,0
22449.96013,46,0.266527348,Gig Worker,40,551,3,0
14455.78655,80,0.261639835,Freelancer,44,317,17,0
16992.87404,43,0.266889149,Gig Worker,54,689,13,0
26757.18424,88,0.289982129,Freelancer,25,541,13,0
16887.43358,48,0.275444574,Freelancer,27,552,0,0
23515.21013,79,0.294284749,Gig Worker,53,303,8,0
22319.00288,89,0.257563023,Gig Worker,20,672,5,0
17438.79757,63,0.293939942,Freelancer,22,724,17,0
37007.60863,35,0.288675868,Small Merchant,57,478,10,0
26437.43316,74,0.25,Small Merchant,46,311,6,0
10000,78,0.310124665,Freelancer,32,592,7,0
23305.1802,35,0.286798099,Freelancer,38,558,2,0
17367.49475,82,0.295308615,Small Merchant,38,728,10,0
27967.03334,83,0.303122715,Freelancer,25,594,10,0
16452.35483,34,0.299367503,Freelancer,33,632,1,0
21196.84491,36,0.277477952,Gig Worker,24,411,14,0
25534.91095,62,0.294503203,Freelancer,55,505,14,0
28060.28636,42,0.25,Freelancer,28,521,4,0
13597.92515,80,0.287875325,Small Merchant,42,829,19,0
19658.49135,83,0.3146497,Freelancer,51,312,7,0
18675.38282,30,0.266092451,Small Merchant,48,569,15,0
17426.69537,42,0.29830907,Freelancer,47,339,11,1
34358.17968,72,0.315459677,Small Merchant,59,804,13,0
24834.87198,56,0.293784137,Gig Worker,30,514,12,0
13173.81232,36,0.300508135,Freelancer,38,603,8,0
28425.03363,81,0.25,Small Merchant,20,821,6,0
36855.09338,32,0.261301518,Small Merchant,28,420,16,0
29227.25682,87,0.308594705,Freelancer,21,609,1,0
11364.41024,54,0.299207003,Small Merchant,23,604,7,0
18610.36149,62,0.289920421,Gig Worker,48,725,12,0
30868.37804,69,0.274707768,Small Merchant,23,758,7,0
17046.31374,46,0.285692421,Small Merchant,20,501,17,0
25106.736,74,0.314762935,Freelancer,47,711,12,0
27422.43837,43,0.277961953,Freelancer,37,519,7,0
15511.4867,66,0.293985022,Gig Worker,32,454,15,0
21583.32251,87,0.293459599,Small Merchant,59,623,19,0
10000,85,0.266682982,Freelancer,25,639,2,0
14829.28651,83,0.268226307,Gig Worker,58,689,14,0
20232.02294,52,0.310540265,Freelancer,41,485,9,0
13265.51773,88,0.291402599,Small Merchant,49,433,17,0
33426.87913,53,0.266393148,Gig Worker,46,446,18,0
11989.01035,58,0.273774414,Small Merchant,27,412,1,0
18919.68859,67,0.260288244,Small Merchant,47,828,9,0
22915.18404,88,0.301330033,Freelancer,21,732,15,0
32088.91302,83,0.274964663,Freelancer,39,686,7,0
11948.96494,56,0.275231087,Small Merchant,30,665,6,0
30142.14627,67,0.296818373,Freelancer,33,333,3,0
22071.63143,82,0.25,Small Merchant,43,361,8,1
15129.43944,69,0.279261943,Small Merchant,32,743,1,0
25234.72432,74,0.279781976,Gig Worker,27,495,15,1
23393.41787,79,0.27428783,Freelancer,40,386,6,1
17798.48186,52,0.269009244,Freelancer,41,553,14,0
22488.61459,60,0.265798819,Gig Worker,28,426,4,0
19302.80482,65,0.28564901,Freelancer,30,461,0,0
22794.62142,46,0.259798271,Gig Worker,35,615,19,0
26634.91472,90,0.283223698,Gig Worker,28,471,4,1
33102.11771,66,0.268941901,Freelancer,22,698,12,0
13335.29151,32,0.27027189,Freelancer,55,630,19,0
36931.23362,65,0.283939823,Small Merchant,32,658,12,0
10000,84,0.270048185,Gig Worker,20,551,17,0
20937.50433,34,0.305340893,Gig Worker,30,308,1,0
26118.22045,75,0.277198679,Small Merchant,43,538,17,0
23966.94307,44,0.300932967,Gig Worker,24,334,9,1
17641.10336,81,0.264761443,Small Merchant,21,682,2,1
20543.14425,78,0.264317973,Freelancer,36,500,9,0
18548.99346,35,0.25,Small Merchant,36,532,8,0
17874.4467,88,0.270156849,Freelancer,39,795,2,0
27947.21468,39,0.275347882,Small Merchant,34,376,5,0
24499.1084,83,0.28154056,Small Merchant,23,517,10,0
17149.63283,61,0.293947015,Freelancer,30,673,5,0
28297.19913,52,0.292495908,Gig Worker,42,352,4,0
24151.09665,77,0.302712825,Small Merchant,20,557,13,0
27690.03483,46,0.262253973,Freelancer,23,431,1,0
26407.40189,75,0.280616484,Small Merchant,57,694,0,0
16197.03492,49,0.259996649,Freelancer,21,548,4,0
18078.73272,73,0.288284688,Small Merchant,46,697,7,0
27231.05524,70,0.316085103,Freelancer,53,368,9,0
26272.59186,44,0.256071436,Gig Worker,32,722,18,0
21853.68884,73,0.293750954,Freelancer,37,639,2,0
22821.29168,75,0.300972814,Freelancer,30,673,17,0
30943.65427,87,0.262145441,Gig Worker,24,573,6,1
17859.00028,51,0.288726564,Gig Worker,48,556,12,0
25829.68167,79,0.272801337,Freelancer,44,815,13,0
20584.65143,81,0.277576682,Small Merchant,33,567,17,0
20476.23158,35,0.272138962,Freelancer,57,656,11,0
29691.43796,33,0.275502492,Small Merchant,56,607,7,0
27777.91444,87,0.303110596,Gig Worker,30,826,17,0
27694.56745,52,0.278417177,Gig Worker,51,790,5,0
31138.35165,73,0.267966616,Freelancer,25,497,11,0
22147.02689,74,0.281379951,Gig Worker,25,650,2,0
26773.6708,48,0.25,Gig Worker,41,517,2,0
19828.1327,83,0.263662078,Freelancer,22,307,15,0
24269.16447,74,0.304971823,Freelancer,38,530,16,0
21088.99862,60,0.277093094,Freelancer,53,392,15,0
22678.97175,73,0.27043932,Freelancer,26,315,12,0
26166.09918,81,0.283459396,Freelancer,35,495,12,0
16272.45522,32,0.294732399,Freelancer,57,763,11,0
36646.71093,57,0.306574829,Gig Worker,28,504,1,0
14957.87833,32,0.270979478,Freelancer,32,426,13,0
13500.67971,43,0.271439615,Freelancer,53,459,9,0
30106.77611,47,0.275536555,Freelancer,56,800,18,0
27541.63886,56,0.300583217,Gig Worker,25,765,4,0
26368.83872,80,0.281140834,Freelancer,57,797,15,0
26398.41856,90,0.323317595,Gig Worker,23,747,4,0
21914.27259,89,0.276779837,Small Merchant,24,763,1,0
15719.2194,39,0.315269712,Gig Worker,25,641,5,0
22530.63191,78,0.26213939,Freelancer,32,807,11,0
17259.86802,44,0.252203059,Gig Worker,43,583,12,0
28825.83813,48,0.277971422,Freelancer,47,450,12,0
20970.59833,38,0.302787739,Small Merchant,32,512,13,0
16221.51962,33,0.270460412,Small Merchant,37,621,18,0
19750.29911,44,0.267669261,Gig Worker,26,487,14,0
24890.52018,80,0.300500294,Small Merchant,23,482,2,0
18053.92813,77,0.294101995,Gig Worker,50,683,8,0
16244.45723,37,0.264151697,Freelancer,43,324,9,0
23705.81048,78,0.262982274,Freelancer,41,836,6,0
23714.766,82,0.296585842,Gig Worker,40,613,13,0
18451.39777,30,0.25,Small Merchant,45,337,16,0
18702.73186,36,0.30159047,Small Merchant,49,601,13,0
23624.34956,82,0.293836576,Gig Worker,54,668,9,0
11863.40961,60,0.25,Freelancer,42,399,4,0
12147.75358,47,0.280311365,Gig Worker,59,687,17,0
16970.89045,41,0.25,Small Merchant,49,745,16,0
20505.86994,77,0.255898217,Gig Worker,38,769,17,0
24176.35296,59,0.26994058,Gig Worker,51,354,3,0
32327.49352,62,0.254644229,Gig Worker,38,795,19,0
28003.61736,88,0.324363218,Small Merchant,41,426,0,0
20880.43029,76,0.297281161,Small Merchant,23,620,12,0
21866.88654,36,0.307348781,Freelancer,31,367,9,0
14982.29445,57,0.27719427,Freelancer,34,695,14,0
21870.40805,78,0.280609348,Small Merchant,34,452,4,0
19979.38953,32,0.311614541,Small Merchant,29,448,17,0
24259.02992,72,0.288674648,Freelancer,38,702,3,0
16209.3834,35,0.292244836,Gig Worker,27,525,0,0
25635.4256,60,0.261776408,Small Merchant,50,609,9,0
32729.17239,67,0.261683764,Small Merchant,28,718,16,0
21238.67896,44,0.2852208,Small Merchant,48,814,2,0
24811.98205,36,0.287459387,Freelancer,26,588,3,0
26831.00794,72,0.260058178,Small Merchant,27,500,11,0
19191.4567,59,0.287169139,Freelancer,36,818,10,0
23568.64737,56,0.255566608,Small Merchant,34,467,2,0
22088.14681,46,0.280276604,Freelancer,35,636,10,0
22683.73269,84,0.251250254,Gig Worker,26,594,2,0
16588.93151,47,0.306559812,Gig Worker,38,679,3,0
22171.57122,51,0.273775558,Small Merchant,57,310,2,1
25485.98804,90,0.26612863,Gig Worker,44,656,11,0
32158.00525,85,0.257085234,Freelancer,31,430,11,0
28714.89578,90,0.255160293,Small Merchant,51,504,16,0
37072.2772,82,0.288728205,Freelancer,29,735,7,0
16628.56706,55,0.300076038,Freelancer,43,615,9,0
28106.24446,80,0.298074656,Small Merchant,23,613,15,0
23283.39404,56,0.307931831,Gig Worker,56,785,18,0
37328.62053,69,0.314963609,Small Merchant,58,410,14,0
16341.912,53,0.299158537,Gig Worker,23,589,10,0
16121.9471,81,0.269942143,Small Merchant,55,546,6,0
17804.25148,37,0.283389621,Small Merchant,56,711,6,0
10000,50,0.25,Gig Worker,44,749,17,0
18319.71485,58,0.292751603,Small Merchant,49,720,18,0
16686.07137,72,0.28298531,Gig Worker,20,699,15,0
23052.75651,50,0.311904561,Small Merchant,48,755,2,0
24392.29183,32,0.265132815,Small Merchant,35,424,5,0
35133.19587,60,0.290310313,Freelancer,56,559,0,0
28652.96687,84,0.259933119,Gig Worker,56,834,0,0
17961.67441,56,0.277799332,Small Merchant,26,379,14,0
15711.0973,75,0.25,Freelancer,59,571,19,0
25443.4342,56,0.307120927,Freelancer,52,717,10,0
12758.36755,38,0.301052988,Gig Worker,41,701,9,0
34820.21136,86,0.270546312,Freelancer,46,352,2,0
30256.08085,62,0.285236706,Small Merchant,48,571,3,0
18715.77044,62,0.280769711,Freelancer,35,527,11,0
10008.0583,55,0.267752124,Freelancer,40,670,5,0
31477.10662,57,0.282463873,Small Merchant,30,491,19,0
21198.22108,73,0.271144569,Freelancer,40,322,18,1
30664.71418,72,0.299606773,Gig Worker,28,635,15,0
10839.00639,60,0.275783834,Small Merchant,46,529,9,1
17804.37484,82,0.32781071,Small Merchant,58,829,5,0
22036.7059,30,0.278443044,Small Merchant,41,787,19,0
22328.86416,49,0.282255415,Freelancer,34,463,4,0
18849.5417,41,0.29056317,Freelancer,42,722,9,0
26359.94953,46,0.29674102,Freelancer,48,659,11,0
14526.65699,44,0.281559489,Freelancer,58,468,17,0
21003.3436,63,0.29012759,Gig Worker,35,812,2,0
22842.06942,79,0.283656079,Freelancer,22,647,4,0
25601.07184,45,0.264428347,Gig Worker,35,498,2,0
26981.30415,33,0.259036994,Freelancer,27,511,2,0
14127.50536,37,0.293984952,Gig Worker,45,451,8,0
11261.2008,63,0.310344621,Freelancer,28,829,3,0
30943.73775,75,0.25,Freelancer,54,389,19,0
24326.19808,54,0.251308752,Gig Worker,26,313,16,0
16760.59424,44,0.251115574,Gig Worker,27,318,6,0
32858.06383,57,0.295502891,Small Merchant,54,381,12,0
22809.72244,38,0.297172059,Small Merchant,58,818,11,0
30255.08029,31,0.260473214,Small Merchant,55,301,17,0
22472.62937,46,0.324115727,Gig Worker,25,562,14,1
36425.23547,87,0.272300669,Freelancer,26,839,4,0
34287.3859,39,0.308712894,Freelancer,31,789,0,0
20257.25096,38,0.296170815,Small Merchant,58,636,8,0
28800.99666,60,0.260837984,Freelancer,20,585,8,0
26517.63165,31,0.271639346,Freelancer,44,553,12,0
31580.4209,53,0.262551657,Freelancer,31,784,10,0
15245.53578,48,0.253113614,Freelancer,46,500,8,0
26802.36022,46,0.274935574,Small Merchant,42,591,4,0
29408.97141,72,0.256027997,Freelancer,38,577,13,0
10000,78,0.276501053,Gig Worker,40,634,15,0
13717.19041,39,0.318659134,Freelancer,40,710,1,0
10000,79,0.293933763,Gig Worker,43,509,14,0
20114.15216,84,0.268857402,Small Merchant,32,309,16,0
27022.79579,57,0.267225534,Freelancer,55,539,4,0
32516.49936,67,0.271977594,Small Merchant,34,469,9,0
22518.66346,77,0.321422652,Freelancer,20,772,14,0
33400.30882,57,0.258232911,Gig Worker,53,771,19,0
12339.28979,88,0.27996462,Small Merchant,50,528,3,0
10076.32292,79,0.289307258,Small Merchant,51,707,3,0
21611.16611,81,0.304309774,Freelancer,55,698,6,0
24688.45814,79,0.273346584,Freelancer,48,502,0,0
21771.13676,30,0.260746486,Freelancer,29,348,19,0
10000,89,0.285790014,Freelancer,40,394,1,0
21376.15972,32,0.306293275,Freelancer,55,417,18,0
12868.7135,44,0.274542334,Freelancer,43,373,3,0
26687.70784,81,0.263211644,Gig Worker,46,336,0,0
24566.18772,39,0.282204138,Small Merchant,40,629,0,0
15420.8415,50,0.25,Freelancer,37,725,2,0
18402.93158,66,0.275626823,Small Merchant,23,486,17,0
14585.50535,44,0.303560514,Small Merchant,37,683,2,0
21561.24632,52,0.297496937,Small Merchant,28,758,2,0
28685.99624,43,0.277122715,Small Merchant,49,608,12,0
15099.91768,44,0.313186588,Small Merchant,54,725,0,0
25528.32561,39,0.318197497,Small Merchant,49,691,12,0
18288.19667,85,0.293281725,Gig Worker,58,630,4,0
16449.89017,38,0.250644573,Gig Worker,25,707,16,0
21250.78748,73,0.25,Small Merchant,33,606,10,0
14753.30374,68,0.307669803,Freelancer,48,370,9,0
18124.45486,34,0.284894558,Freelancer,51,743,14,0
13614.85475,54,0.312711084,Small Merchant,33,448,12,0
35753.07593,85,0.253226345,Gig Worker,39,736,9,0
22246.84486,71,0.276776295,Small Merchant,28,561,8,0
17101.92144,86,0.300583812,Freelancer,31,656,6,0
23497.85938,55,0.26540425,Gig Worker,33,604,9,0
21213.70365,37,0.300295701,Freelancer,42,842,8,0
20453.2128,51,0.277544409,Small Merchant,53,454,12,0
26299.1669,81,0.280561216,Freelancer,35,415,15,0
27302.55397,54,0.256327342,Small Merchant,37,350,1,0
18286.49197,77,0.285027721,Freelancer,59,371,7,0
17969.27232,41,0.323855794,Freelancer,52,442,6,0
20074.63812,38,0.287760436,Freelancer,24,466,1,0
10000,39,0.264165515,Freelancer,58,369,0,0
11393.66256,77,0.307910832,Gig Worker,29,795,3,0
31568.11987,39,0.264768569,Freelancer,41,819,5,0
33514.77399,38,0.314422065,Gig Worker,52,462,1,0
20256.74772,55,0.254500817,Freelancer,50,586,6,0
26035.89874,64,0.285454168,Small Merchant,25,533,9,0
24178.75108,56,0.31052625,Freelancer,55,643,8,0
43552.16566,89,0.262663617,Freelancer,22,552,1,0
29837.02438,60,0.281663202,Gig Worker,23,556,14,0
21104.57686,48,0.303145785,Small Merchant,46,805,14,0
15311.21692,72,0.25,Small Merchant,57,770,15,0
10754.87576,67,0.298537675,Small Merchant,44,588,1,0
23424.24545,35,0.27824147,Freelancer,56,848,16,0
16705.54478,44,0.308839083,Small Merchant,46,804,10,0
12044.22403,58,0.263450054,Small Merchant,55,822,17,0
17473.98981,76,0.252264483,Small Merchant,55,383,0,0
14429.16397,74,0.26913927,Freelancer,26,644,11,0
33809.99145,83,0.268721671,Small Merchant,49,678,5,0
28171.4783,34,0.27587028,Gig Worker,48,431,17,0
